Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0983,65,17,82,198,41.41,%,43,37,80
"District Judge, 129th Judicial District",0984,76,57,133,341,39.00%,10,121,131
"District Judge, 129th Judicial District",0985,222,56,278,355,78.31%,127,140,267
"District Judge, 129th Judicial District",0986,153,78,231,537,43.02%,22,200,222
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sophia Mafrige,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0987,476,130,606,1183,51.23%,43,536,579
"District Judge, 129th Judicial District",0988,62,15,77,117,65.81%,66,7,73
"District Judge, 129th Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0990,5,6,11,66,16.67%,4,7,11
"District Judge, 129th Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 129th Judicial District",0992,456,106,562,1075,52.28%,254,272,526
"District Judge, 129th Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0994,56,12,68,75,90.67%,21,45,66
"District Judge, 129th Judicial District",0995,753,193,946,1576,60.03%,92,815,907
"District Judge, 129th Judicial District",0996,403,70,473,708,66.81%,242,202,444
"District Judge, 129th Judicial District",0997,521,283,804,1909,42.12%,143,638,781
"District Judge, 129th Judicial District",0998,24,12,36,68,52.94%,22,12,34
"District Judge, 129th Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",1000,122,22,144,428,33.64%,23,117,140
"District Judge, 129th Judicial District",1001,519,280,799,1654,48.31%,145,609,754
"District Judge, 129th Judicial District",1002,480,270,750,1804,41.57%,101,605,706
"District Judge, 129th Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",1004,349,114,463,691,67.00%,203,231,434
"District Judge, 129th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",1007,694,306,1000,1775,56.34%,202,756,958
"District Judge, 129th Judicial District",1008,620,107,727,1011,71.91%,553,142,695
"District Judge, 129th Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",1010,292,96,388,647,59.97%,65,306,371
"District Judge, 129th Judicial District",1011,9,6,15,31,48.39%,8,7,15
"District Judge, 129th Judicial District",1012,543,362,905,1633,55.42%,208,649,857
"District Judge, 129th Judicial District",Totals;,981446,353327,1334773,2182980,591916,678031,1269947
